date,cases
2018-01-31,575
2018-02-28,596
2018-03-31,204
2018-04-30,612
2018-05-31,320
2018-06-30,476
2018-07-31,1120
2018-08-31,604
2018-09-30,446
2018-10-31,520
2018-11-30,752
2018-12-31,688
2019-01-31,748
2019-02-28,832
2019-03-31,694
2019-04-30,536
2019-05-31,692
2019-06-30,484
2019-07-31,582
2019-08-31,616
2019-09-30,450
2019-10-31,719
2019-11-30,646
2019-12-31,522
2020-01-31,694
2020-02-29,1678
2020-03-31,710
2020-04-30,676
2020-05-31,398
2020-06-30,576
2020-07-31,338
2020-08-31,634
2020-09-30,506
2020-10-31,862
2020-11-30,714
2020-12-31,590
2021-01-31,418
2021-02-28,964
2021-03-31,681
2021-04-30,630
2021-05-31,666
2021-06-30,960
2021-07-31,810
2021-08-31,506
2021-09-30,740
2021-10-31,1012
2021-11-30,712
2021-12-31,682
2022-01-31,898
2022-02-28,741
2022-03-31,933
2022-04-30,488
2022-05-31,666
2022-06-30,895
2022-07-31,547
2022-08-31,679
2022-09-30,728
2022-10-31,804
2022-11-30,676
2022-12-31,456
2023-01-31,580
2023-02-28,424
2023-03-31,523
2023-04-30,750
2023-05-31,594
2023-06-30,768
2023-07-31,688
2023-08-31,2262
2023-09-30,746
2023-10-31,955
2023-11-30,1235
2023-12-31,1212
2024-01-31,836
2024-02-29,926
2024-03-31,688
2024-04-30,708
2024-05-31,864
2024-06-30,670
2024-07-31,1070
2024-08-31,952
2024-09-30,770
2024-10-31,1212
2024-11-30,1188
2024-12-31,616
